class,nodes,distance
1,49086487,101.993
1,49086490,0
1,49414549,1624.815
1,49414559,1512.537
1,49414570,1719.534
1,49283718,3522.215
1,49283721,3327.498
1,49283722,3293.583
1,49283723,3207.516
1,49283720,3411.898
1,49283725,2882.941
1,49283728,2359.989
1,49087209,3285.841
1,49414913,3126.545
1,49349385,2357.58
1,49087347,2777.187
1,49087352,2900.961
1,49152890,2747.029
1,49087353,2954.662
1,49087360,2819.571
1,49087361,2877.298
1,49152946,2847.854
1,49152962,3125.977
1,49152992,3596.066
1,49152994,3572.597
1,49152998,3495.528
1,533005871,2549.406
1,48891540,2759.896
1,49416064,2707.542
1,49350919,3569.129
1,49023246,2970.823
1,48957726,2762.01
1,48957727,2779.813
1,49089271,1994.719
1,49089272,2106.751
1,49154856,210.076
1,49154858,162.855
1,49417399,3323.354
1,2138443115,3207.485
1,2138443122,3043.049
1,1283132851,3287.075
1,1283133077,3148.576
1,49614493,2494.062
1,49614503,2566.373
1,49090652,2678.815
1,49680605,3479.4
1,49484006,3150.436
1,49090909,3059.199
1,49090911,3417.201
1,49549913,1539.292
1,49091237,3598.091
1,49091239,3387.363
1,49091247,2476.343
1,49091251,2156.17
1,49091256,1476.243
1,49091257,1151.165
1,49091260,596.826
1,49091261,505.201
1,49091266,715.323
1,49091272,1003.306
1,49091278,1162.448
1,49091280,1426.608
1,5717097829,2047.137
1,5751290548,2468.391
1,49222631,3221.065
1,49157206,1939.595
1,49157215,2341.858
1,49092154,3034.005
1,49092155,2973.202
1,49092156,2768.037
1,49092164,3274.301
1,49092165,3307.022
1,49092169,2264.591
1,49092181,2260.256
1,49616502,3133.844
1,49616510,3416.333
1,49551050,2499.566
1,49419991,3475.675
1,49420004,3185.311
1,49420018,2914.2
1,49420045,1471.916
1,49420047,1373.625
1,2138445603,2791.529
1,2138445605,2807.5
1,2138445642,2750.623
1,2138445649,2682.636
1,2138445673,2729.871
1,4792457190,3289.422
1,49224581,1831.843
1,49224583,2196.626
1,49224591,2024.153
1,49224599,1859.707
1,49224601,1786.209
1,49224610,2876.156
1,49224726,2485.355
1,49224732,2316.305
1,49224735,2231.7
1,49224739,2146.58
1,49224746,1892.075
1,49224750,1806.926
1,49224752,1656.595
1,49224754,1509.085
1,49224756,1620.632
1,49224758,1724.82
1,49224768,1939.95
1,49224774,2174.96
1,49224777,2335.446
1,49224784,2261.882
1,4602338499,3587.163
1,49487119,1382.686
1,1336352096,1971.902
1,1336352097,1820.47
1,1336352100,1854.807
1,1336352102,2490.179
1,1336352105,1892.614
1,1336352113,2197.605
1,49094158,3019.327
1,49094163,3361.026
1,347414120,2231.913
1,2138447534,2806.288
1,2138447539,2863.499
1,2138447540,2662.74
1,2138447541,2623.634
1,2138447559,2586.009
1,2138447561,2616.779
1,49290993,2779.846
1,49291009,3097.249
1,49291016,3049.539
1,49618729,3101.787
1,3352829888,2451.833
1,49094780,2431.642
1,49094788,2636.568
1,49160548,3204.987
1,49160549,3298.322
1,49160551,3358.851
1,49160554,3182.744
1,49160559,3258.483
1,49291657,3161.625
1,49488282,2581.47
1,49488294,2851.794
1,49488317,3108.154
1,49422811,3222.25
1,49422820,3448.216
1,296872481,2854.774
1,49095231,3045.045
1,49619564,1169.926
1,2139628457,2352.328
1,2139628461,2360.113
1,49161149,3072.759
1,49292888,3482.77
1,49227788,3259.448
1,49227789,3298.06
1,49096759,3361.544
1,49096761,3347.502
1,49358966,2806.489
1,49358972,3222.564
1,49358974,2769.472
1,2853906798,1750.309
1,49359421,2644.284
1,49359423,2056.121
1,49359456,2931.274
1,49687281,81.178
1,2138450863,2618.472
1,2138450883,2653.254
1,49360034,3089.893
1,49360039,2885.921
1,49360045,2808.282
1,49360051,2696.571
1,49098049,3484.255
1,49098050,3275.2
1,49098051,3479.512
1,5896482236,2455.651
1,49557121,1988.115
1,2853908208,2922.082
1,4625674053,2161.555
1,49098574,3290.674
1,49098576,2944.917
1,49098575,3014.148
1,3317903216,3085.597
1,1397239693,3473.959
1,1397239744,3242.578
1,1397239756,3536.04
1,1397239773,3153.616
1,1397239777,3048.787
1,49426694,3515.971
1,3586143008,3196.085
1,49230900,2450.277
1,49230906,2493.677
1,49230908,2672.77
1,49230919,2883.989
1,49230920,2959.649
1,49230924,3016.879
1,49427863,2714.026
1,49427873,2157.289
1,3317904828,2426.461
1,49034719,681.036
1,49034721,708.761
1,5717308912,2803.348
1,5717308916,2775.763
1,49690281,3367.946
1,49100701,1698.361
1,49362908,2470.136
1,49362910,2503.191
1,49362911,2650.868
1,49362914,1687.027
1,49362915,1570.017
1,49362916,2003.846
1,49362917,2189.814
1,49100844,2555.672
1,49100849,2253.498
1,49101542,1928.351
1,1190476703,3077.783
1,1190476715,3276.378
1,1190476717,3142.406
1,1190476724,3076.103
1,1190476726,3425.859
1,1190476730,3178.81
1,1190476736,3374.201
1,1190476823,3473.428
1,1190476826,3570.406
1,49233366,3599.267
1,49299172,3554.246
1,49299173,3439.325
1,49299179,3163.573
1,49299185,3005.34
1,49299201,2264.952
1,49299202,2326.494
1,49299213,2618.015
1,49299218,1916.252
1,49299222,1735.369
1,49299226,1857.071
1,49299245,1388.897
1,49299246,1342.904
1,49299250,1011.602
1,49299251,955.852
1,49299276,1168.002
1,49299362,3145.954
1,49299364,3029.357
1,49299368,2827.67
1,49299378,2565.561
1,49561683,2921.446
1,49365312,3462.72
1,49365314,3052.338
1,49365318,2564.227
1,49365320,2676.009
1,380060049,2996.76
1,49627978,3060.319
1,49235024,3289.335
1,49235025,3196.709
1,49235027,3146.82
1,49235029,3100.744
1,49235033,2977.362
1,49235044,3139.465
1,49235052,3241.801
1,49104054,3205.917
1,49104055,3295.398
1,49104056,3437.308
1,49104057,3533.711
1,49759480,2476.905
1,49497392,3428.41
1,49038793,3021.162
1,49038796,3158.313
1,49038851,3116.604
1,49039332,2374.179
1,49039556,2253.661
1,49236482,3334.265
1,49695588,3166.086
1,49564571,1771.802
1,49564573,1833.067
1,49630126,1222.982
1,49302459,1576.836
1,49433959,2679.968
1,49433960,2622.699
1,49106735,2623.781
1,49106746,2982.993
1,49106749,3046.044
1,49631212,2506.36
1,49631222,1950.451
1,49696825,1977.138
1,49107012,1855.234
1,49107017,1982.356
1,49107023,2063.341
1,49631405,3447.411
1,49631411,3095.819
1,49631413,3190.004
1,3264303399,3594.942
1,49041799,3318.554
1,49631867,2639.814
1,49631873,3005.211
1,49631922,3393.797
1,49658548,3130.953
1,49304461,3178.325
1,49304464,3105.707
1,48976806,2420.54
1,48976807,2431.224
1,49566748,1784.132
1,49042819,2930.2
1,49042820,2917.096
1,49108357,3483.912
1,49108358,3553.82
1,49108558,3071.833
1,49501894,3381.718
1,49501896,3325.651
1,49502029,2543.299
1,49502032,1669.782
1,49174537,3445.613
1,49568151,2770.353
1,49240593,2700.708
1,49240594,2745.848
1,49371683,2503.459
1,49044163,2193.153
1,49044164,2244.419
1,49109701,3134.427
1,49109700,3249.448
1,5531917032,2430.14
1,49306353,3585.5
1,49306361,3546.206
1,49437531,3399.429
1,49437534,2824.197
1,49437540,2729.247
1,49437552,3400.687
1,49437556,3006.583
1,49699942,3102.659
1,49569327,3061.563
1,49242502,2345.663
1,49242503,2299.258
1,49766844,3242.561
1,2138464907,3387.314
1,2138464928,2788.566
1,2138464946,2160.909
1,2138464952,1859.322
1,2138464954,1772.477
1,2138464995,1847
1,2138465000,2089.378
1,2138465048,1847.414
1,49308522,2782.95
1,49308535,2977.754
1,49308541,3210.981
1,2138465578,2476.78
1,2138465579,2622.096
1,2138465580,2677.995
1,49112607,2234.857
1,49112608,2281.09
1,49309299,1802.205
1,49309302,1765.695
1,49571467,3111.521
1,4342965927,2283.705
1,2138466240,2701.429
1,49178628,3533.085
1,49113163,2495.539
1,49047631,3354.825
1,49047632,3236.436
1,49047633,3286.272
1,49113165,2639.184
1,49113166,2670.666
1,49113168,2879.608
1,1607100540,2047.358
1,1607100543,2092.578
1,4589709684,1320.325
1,4589709685,1460.012
1,49310144,1454.655
1,49310149,1403.176
1,2993187413,1923.891
1,2993187414,2090.186
1,2993187415,1441.032
1,49113828,459.377
1,49113834,622.974
1,49113838,690.284
1,49113841,904.29
1,49113843,1015.571
1,49375988,3098.147
1,49113845,1133.307
1,49375990,2942.663
1,49375989,3020.358
1,49113848,1209.255
1,49113847,1180.872
1,5085555451,3005.508
1,49113892,2410.074
1,49113894,2346.741
1,49113897,2275.426
1,49113898,2278.369
1,49113902,2270.209
1,49113903,2261.147
1,49113904,2233.974
1,49113923,2222.91
1,49113925,2119.642
1,49113927,1842.85
1,49113928,1891.388
1,49113929,2603.462
1,49113933,2508.775
1,49113934,2428.434
1,49113935,1797.985
1,49113936,1889.604
1,49113937,1979.467
1,49113938,2071.513
1,49113939,2158.572
1,49113940,2222.639
1,49048434,3360.452
1,49049099,2999.694
1,49049102,3178.859
1,49049108,3330.649
1,2139647826,2137.474
1,49442656,1703.388
1,49049543,2980.592
1,2139647964,2327.774
1,2139647966,2332.815
1,2139647986,2491.173
1,2139647995,2493.23
1,2139648013,2655.26
