highway_n,osmid_n,ref_n,geometry_n
,49217537,,POINT (-117.105797 32.740307)
,49086467,,POINT (-117.170647 32.675667)
,49217545,,POINT (-117.104568 32.740295)
,49217547,,POINT (-117.103363 32.740292)
traffic_signals,49348622,,POINT (-116.929378 32.744896)
,49086482,,POINT (-116.972183 32.764507)
,49086483,,POINT (-116.97139 32.764477)
traffic_signals,49217557,,POINT (-117.10096 32.740265)
,1464991766,,POINT (-117.020561 32.6154016)
turning_circle,49086487,,POINT (-117.082916 32.766453)
,49217559,,POINT (-117.09993 32.740265)
,49283097,,POINT (-116.9982926 32.774711)
,49086490,,POINT (-117.081886 32.766434)
,49217562,,POINT (-117.098831 32.740265)
motorway_junction,49020959,5B,POINT (-117.1591386 32.7909772)
,49217567,,POINT (-117.164001 32.739735)
,49086501,,POINT (-117.047623 32.682003)
turning_circle,49086502,,POINT (-117.047073 32.682388)
,49217573,,POINT (-117.161263 32.739754)
turning_circle,49086505,,POINT (-117.059891 32.691177)
,49086506,,POINT (-117.059959 32.690849)
,49217577,,POINT (-117.160362 32.739754)
,49217580,,POINT (-117.1594435 32.7397507)
,49741872,,POINT (-117.117981 32.587101)
,49217586,,POINT (-117.096588 32.740261)
,435879987,,POINT (-117.1196405 32.7079679)
,435879989,,POINT (-117.1196258 32.7085486)
,49217589,,POINT (-117.0944477 32.7402621)
,49741878,,POINT (-117.118011 32.5839)
,49217600,,POINT (-117.133629 32.73925)
,49217602,,POINT (-117.132507 32.73925)
,49217605,,POINT (-117.131439 32.739258)
,49217609,,POINT (-117.130371 32.739258)
turning_circle,2009727051,,POINT (-116.9470994 32.636684)
stop,49479756,,POINT (-117.150009 32.7553385)
,49348685,,POINT (-117.0282008 32.6687563)
,49152079,,POINT (-117.247307 32.719238)
,49217615,,POINT (-117.12822 32.739262)
,49086544,,POINT (-116.9604919 32.7276354)
stop,49479760,,POINT (-117.148758 32.755344)
turning_circle,49676372,,POINT (-116.9878625 32.6383345)
,276693077,,POINT (-117.2217477 32.7568895)
traffic_signals,275185749,,POINT (-117.0997055 32.7114527)
,49217621,,POINT (-117.1271604 32.7392557)
turning_circle,49406834,,POINT (-117.170387 32.796165)
,49217625,,POINT (-117.126068 32.739258)
,49348700,,POINT (-117.051689 32.614796)
,49348702,,POINT (-117.051079 32.613277)
,49348703,,POINT (-117.050369 32.611404)
,49414241,,POINT (-117.132957 32.722374)
,49348707,,POINT (-117.024246 32.573383)
,49348709,,POINT (-117.023857 32.572857)
,49348710,,POINT (-116.998444 32.790348)
,49414247,,POINT (-117.131142 32.722355)
,49217639,,POINT (-117.12307 32.73925)
,49414252,,POINT (-117.1293238 32.7223378)
,49283181,,POINT (-117.060013 32.692623)
,49414254,,POINT (-117.127533 32.722317)
,49217644,,POINT (-117.122101 32.739246)
,49348720,,POINT (-116.99939 32.792583)
,49217653,,POINT (-117.120522 32.73933)
,49283191,,POINT (-117.058029 32.693562)
,49414263,,POINT (-117.122704 32.722351)
,2009727097,,POINT (-116.9536203 32.6383654)
,4018995323,,POINT (-117.0770866 32.596139)
,49217662,,POINT (-117.119072 32.740124)
,49283201,,POINT (-116.9830333 32.7991192)
,49217665,,POINT (-117.1173197 32.7405572)
traffic_signals,49414284,,POINT (-117.1602172 32.7219749)
,673054861,,POINT (-117.1614778 32.7911816)
,49152143,,POINT (-117.054108 32.733253)
,49152144,,POINT (-117.0537404 32.7325509)
traffic_signals,49414287,,POINT (-117.1592958 32.721985)
stop,49414290,,POINT (-117.157478 32.721992)
,49152147,,POINT (-117.0549799 32.7329158)
,49152148,,POINT (-117.0546749 32.7323208)
,49283224,,POINT (-117.020691 32.741974)
,49283228,,POINT (-117.020103 32.742245)
,49414303,,POINT (-117.094643 32.584846)
,49217702,,POINT (-117.121529 32.581062)
,49217704,,POINT (-117.119171 32.581059)
,49283241,,POINT (-117.017227 32.740269)
,49283243,,POINT (-117.017464 32.739742)
,49283246,,POINT (-117.017952 32.738857)
,48890031,,POINT (-117.1131026 32.7788897)
,49283252,,POINT (-117.019203 32.737213)
,49479862,,POINT (-116.987419 32.77026)
,49283256,,POINT (-117.019661 32.735569)
,49610936,,POINT (-116.979395 32.730826)
,49086649,,POINT (-117.011169 32.783825)
,48890044,,POINT (-117.1169541 32.7786156)
,49283261,,POINT (-117.0306649 32.7419517)
,49086653,,POINT (-117.011276 32.785198)
,49283263,,POINT (-117.027931 32.741928)
,49086657,,POINT (-117.010117 32.786705)
,49511062,,POINT (-117.037071 32.769661)
turning_circle,49676487,,POINT (-117.164581 32.777142)
,49283276,,POINT (-117.019287 32.73185)
,49120290,,POINT (-116.94136 32.793602)
,49276600,,POINT (-117.0578 32.757652)
,49348815,,POINT (-117.068024 32.72266)
,49086678,,POINT (-116.9877004 32.6366837)
,49086679,,POINT (-116.9880307 32.6371791)
,49414360,,POINT (-117.069588 32.673199)
,49414361,,POINT (-117.068497 32.673267)
,4686217434,,POINT (-117.1284403 32.5869399)
,49086680,,POINT (-116.9883783 32.6376821)
turning_circle,49086681,,POINT (-116.9885376 32.638077)
motorway_junction,277348578,5A,POINT (-117.1086996 32.7467736)
turning_circle,49152231,,POINT (-117.042374 32.600338)
,49152233,,POINT (-117.042427 32.599693)
,49414378,,POINT (-117.06163 32.676064)
,49152238,,POINT (-117.042503 32.598888)
,49414384,,POINT (-117.060318 32.676514)
turning_circle,49152240,,POINT (-117.045013 32.61145)
,49676530,,POINT (-117.060852 32.574863)
,49676535,,POINT (-117.050911 32.671989)
stop,48890105,,POINT (-117.153648 32.760925)
,49414394,,POINT (-117.059334 32.677246)
stop,48890106,,POINT (-117.153709 32.760925)
,5423890684,,POINT (-117.0590814 32.7765744)
,49414396,,POINT (-117.057747 32.677681)
traffic_signals,5423890687,,POINT (-117.0587576 32.7776476)
stop,48890113,,POINT (-117.151199 32.743279)
,48890114,,POINT (-117.151199 32.743412)
,48890115,,POINT (-117.1640028 32.7414568)
,48890117,,POINT (-117.189507 32.689293)
,48890118,,POINT (-117.189369 32.689114)
,48890120,,POINT (-117.1884579 32.689307)
,48890121,,POINT (-117.137894 32.748447)
,48890122,,POINT (-117.137573 32.748451)
,6382878995,,POINT (-116.9963501 32.6121049)
,6382878996,,POINT (-116.9962018 32.6117982)
,6382879003,,POINT (-116.9960418 32.6108913)
,6382879004,,POINT (-116.995407 32.611133)
,6382879005,,POINT (-116.994666 32.6114055)
,6382879008,,POINT (-116.9950643 32.6122025)
,6382879009,,POINT (-116.9964203 32.6116988)
,6382879011,,POINT (-116.9958089 32.6119338)
,49348900,,POINT (-117.0549305 32.732929)
,6382879012,,POINT (-116.9952672 32.6121301)
,49348902,,POINT (-117.0554645 32.733944)
,6382879013,,POINT (-116.9948633 32.611333)
,49086759,,POINT (-117.1712877 32.7378978)
,49152297,,POINT (-117.053391 32.672157)
,4341498154,,POINT (-117.0839106 32.6401178)
,49086761,,POINT (-117.1713704 32.7451955)
,49086763,,POINT (-117.171333 32.746296)
,49086764,,POINT (-117.171349 32.746819)
,49086766,,POINT (-117.1713613 32.7473178)
traffic_signals,49086767,,POINT (-117.171379 32.748943)
traffic_signals,49086768,,POINT (-117.1713817 32.7499134)
,49086769,,POINT (-117.171387 32.750862)
,49086770,,POINT (-117.17141 32.751823)
,4341498165,,POINT (-117.0856362 32.6444517)
,49086774,,POINT (-117.1714377 32.7556879)
,49086775,,POINT (-117.1714191 32.7564925)
,49086777,,POINT (-117.171722 32.742088)
,49348924,,POINT (-116.953957 32.631165)
,49348926,,POINT (-116.953506 32.631458)
,49152319,,POINT (-117.05899 32.579781)
,49480007,,POINT (-116.9563356 32.7541844)
,49348935,,POINT (-116.952332 32.631176)
,49348938,,POINT (-117.084702 32.563442)
,49086798,,POINT (-116.9744032 32.7949444)
